scenario,target_mode,institution_speed,population_speed,survival_weight,final_exposure,target_exposure,final_theta,final_growth,final_population,min_population,mean_tail_growth,extinct_period,survives_long_run,material_best_response_gap
fixed_survival_rule,fixed,0.0,0.25,0.0,0.05,0.05,0.5,0.1325,568070.0400225054,1.0,0.1325,,True,0.5
fixed_capture_rule,fixed,0.0,0.25,0.0,0.8,0.8,0.9411764705882353,-0.7777508650519032,0.009405081127106096,0.009405081127106096,-0.7777508650519032,24,False,0.9411764705882353
slow_institution_slow_population_myopic,myopic_platform,0.02,0.05,0.0,0.6138452682062712,0.645,0.9246812436652573,-0.7363618565215347,0.009788474083333783,0.009788474083333783,-0.7363618565215347,146,False,0.9246812436652573
fast_institution_slow_population_myopic,myopic_platform,1.0,0.05,0.0,0.645,0.645,0.9280575539568344,-0.7447870193054188,0.00994132945078083,0.00994132945078083,-0.7447870193054187,125,False,0.9280575539568344
slow_institution_fast_population_myopic,myopic_platform,0.02,1.0,0.0,0.23139447814006533,0.645,0.8223134997868995,-0.49228189141116285,0.00817147098672851,0.00817147098672851,-0.4922818914111629,18,False,0.8223134997868995
all_fast_myopic,myopic_platform,1.0,1.0,0.0,0.645,0.645,0.9280575539568344,-0.7447870193054188,0.006213635453168556,0.006213635453168556,-0.7447870193054187,8,False,0.9280575539568344
all_fast_survival_aware,myopic_platform,1.0,1.0,0.75,0.03,0.03,0.375,0.31609374999999995,6.782265755277816e+54,1.0,0.31609374999999995,,True,0.375
slow_institution_survival_aware,myopic_platform,0.02,1.0,0.75,0.030006186717316113,0.03,0.3750483299914822,0.3160291061838151,4.555921954772951e+50,1.0,0.31598314470959266,,True,0.3750483299914822
