scenario,capacity,substitute_share,drift_slope,stable,state_scope
capacity trap,0.08540182876586914,0.999896580144655,-0.22775497379050452,True,interior
capacity trap,0.21208414268493647,0.9989952680155314,0.18233310425631108,False,interior
capacity trap,0.8429153012037278,0.011837856380790258,-1.9109087836883865,True,interior
self-correcting,0.8393914976119996,0.07640985229855879,-1.83447117294969,True,interior
higher exposure,0.08531418323516846,0.9999976431538197,-0.22849239424691323,True,interior
higher exposure,0.21316420078277587,0.9999765973238768,0.1811164657032601,False,interior
higher exposure,0.7541574993133546,0.7209345671989151,-0.51880109587988,True,interior
repair intervention,0.867549292087555,0.007638793114711135,-2.149248388058369,True,interior
