feedback_class,draws,one_stable_state_rate,multiple_stable_states_rate,no_interior_stable_state_rate,lower_boundary_state_rate,low_high_trap_rate,mean_trap_threshold_when_present,median_trap_threshold_when_present
weak feedback,3000,0.9403333333333334,0.059666666666666666,0.019666666666666666,0.019666666666666666,0.03933333333333333,0.23277406593096459,0.23011299324035647
trap-prone feedback,3000,0.5133333333333333,0.4866666666666667,0.111,0.44233333333333336,0.137,0.2881571223381952,0.26998938226699826
collapse-prone feedback,3000,0.19666666666666666,0.8033333333333333,0.15366666666666667,0.8853333333333333,0.05633333333333333,0.3120419756632585,0.2927876749038697
