shock,total_field,adoption,phase
0.0,-0.08,-0.9281806366211451,up
0.0043749999999999995,-0.075625,-0.9266029118225073,up
0.008749999999999999,-0.07125000000000001,-0.9249818673618908,up
0.013124999999999998,-0.066875,-0.9233158285474761,up
0.017499999999999998,-0.0625,-0.921603024723967,up
0.021875,-0.058125,-0.919841583113443,up
0.026249999999999996,-0.053750000000000006,-0.9180295200733464,up
0.030624999999999996,-0.049375,-0.9161647307650085,up
0.034999999999999996,-0.045000000000000005,-0.9142449806103194,up
0.039375,-0.040625,-0.912267892377387,up
0.04375,-0.036250000000000004,-0.9102309346569729,up
0.048124999999999994,-0.03187500000000001,-0.9081314071600137,up
0.05249999999999999,-0.02750000000000001,-0.9059664238296381,up
0.056874999999999995,-0.023125000000000007,-0.9037328971452779,up
0.06124999999999999,-0.01875000000000001,-0.9014275158702667,up
0.065625,-0.014374999999999999,-0.899046723594168,up
0.06999999999999999,-0.010000000000000009,-0.8965866921093689,up
0.074375,-0.005625000000000005,-0.8940432920061205,up
0.07875,-0.0012500000000000011,-0.8914120588965737,up
0.08312499999999999,0.003124999999999989,-0.8886881556651712,up
0.0875,0.007499999999999993,-0.8858663259770249,up
0.091875,0.011874999999999997,-0.8829408444086972,up
0.09624999999999999,0.016249999999999987,-0.8799054546580528,up
0.10062499999999999,0.02062499999999999,-0.8767533004028719,up
0.10499999999999998,0.02499999999999998,-0.8734768410596192,up
0.109375,0.029375,-0.8700677542305104,up
0.11374999999999999,0.03374999999999999,-0.8665168182823619,up
0.118125,0.03812499999999999,-0.8628137712822675,up
0.12249999999999998,0.04249999999999998,-0.8589471421177736,up
0.126875,0.046874999999999986,-0.8549040402911643,up
0.13125,0.051250000000000004,-0.8506699027984104,up
0.135625,0.055624999999999994,-0.8462281738535447,up
0.13999999999999999,0.059999999999999984,-0.8415599055375462,up
0.14437499999999998,0.06437499999999997,-0.8366432487746807,up
0.14875,0.06874999999999999,-0.8314527933104057,up
0.153125,0.07312500000000001,-0.8259587078150383,up
0.1575,0.0775,-0.8201255867325716,up
0.161875,0.08187499999999999,-0.8139108850627191,up
0.16624999999999998,0.08624999999999998,-0.8072627404072157,up
0.17062499999999997,0.09062499999999997,-0.8001168532627422,up
0.175,0.09499999999999999,-0.792391892694952,up
0.179375,0.099375,-0.7839824594141782,up
0.18375,0.10375,-0.77474780897412,up
0.188125,0.10812499999999999,-0.7644927278204403,up
0.19249999999999998,0.11249999999999998,-0.7529326411294259,up
0.19687499999999997,0.11687499999999997,-0.7396233937687745,up
0.20124999999999998,0.12124999999999998,-0.723798806581897,up
0.205625,0.125625,-0.7039028987430347,up
0.20999999999999996,0.12999999999999995,-0.6755389177797263,up
0.21437499999999998,0.13437499999999997,0.9447292106251362,up
0.21875,0.13874999999999998,0.9458515076624818,up
0.22312499999999996,0.14312499999999995,0.9469472492413885,up
0.22749999999999998,0.14749999999999996,0.9480172374416844,up
