scenario,period,policy,exposure,mean_theta,offline_social_capital,mean_fitness,local_subjective_value,initial_preference_value,entropy,predictability,platform_value,autonomy_loss
no_platform_selection_benchmark,0,fixed,0.0,0.3500728274285519,0.6499271725714482,1.9329884140833233,-0.6247812548224873,-0.6726966443783917,0.8060544026062146,0.19394559739378536,0.38886194690730896,0.0
no_platform_selection_benchmark,1,fixed,0.0,0.33407750192032754,0.6659224980796725,1.9774466916861746,-0.6141954178378493,-0.674550633487127,0.8038787781156459,0.1961212218843541,0.37330174629719837,3.064870736046572e-06
no_platform_selection_benchmark,2,fixed,0.0,0.318595331363746,0.681404668636254,2.0209750292745685,-0.6028079433393918,-0.6778739308772604,0.8016375706546089,0.19836242934539106,0.35826781723282425,2.80474800253285e-06
no_platform_selection_benchmark,3,fixed,0.0,0.30361426940569936,0.6963857305943006,2.0635491132559114,-0.5906956523999599,-0.6826721704184596,0.7993091678666161,0.2006908321333839,0.34375243583237614,2.5643565337691857e-06
no_platform_selection_benchmark,4,fixed,0.0,0.28912439132069256,0.7108756086793074,2.1051428418527824,-0.5779326465658802,-0.6889692798901591,0.7968685215933488,0.20313147840665124,0.3297506870020228,2.342381371822389e-06
no_platform_selection_benchmark,5,fixed,0.0,0.27511785839184255,0.7248821416081574,2.145728004529587,-0.5645914561028809,-0.6968056938262758,0.7942874175952251,0.20571258240477486,0.3162603748727975,2.1376024148438123e-06
no_platform_selection_benchmark,6,fixed,0.0,0.2615888146280266,0.7384111853719735,2.1852742104276364,-0.5507439742237649,-0.70623615107609,0.7915350160878893,0.20846498391211066,0.30328181141044874,1.948885123237251e-06
no_platform_selection_benchmark,7,fixed,0.0,0.24853320532494022,0.7514667946750597,2.2237491010950836,-0.5364621419035357,-0.7173269917413515,0.7885786623082092,0.21142133769179083,0.2908174728632984,1.7751716524466939e-06
no_platform_selection_benchmark,8,fixed,0.0,0.23594851394866312,0.7640514860513369,2.261118860604176,-0.5218183534553569,-0.7301529410541595,0.7853849374189743,0.2146150625810257,0.27887152646486824,1.615472487002859e-06
no_platform_selection_benchmark,9,fixed,0.0,0.22383342207029355,0.7761665779297064,2.2973490092983337,-0.5068855657250363,-0.7447934430424683,0.7819208915885463,0.21807910841145373,0.2674492437525843,1.4688586914728934e-06
no_platform_selection_benchmark,10,fixed,0.0,0.21218740556221616,0.7878125944377838,2.3324054392971814,-0.49173711195009034,-0.7613286766294303,0.778155377357649,0.22184462264235105,0.25655633009068635,1.3344549134594778e-06
no_platform_selection_benchmark,11,fixed,0.0,0.2010102877947743,0.7989897122052256,2.366255624437279,-0.47644624247720907,-0.7798354425143534,0.774060386259279,0.22593961374072102,0.24619821054291852,1.211433268747285e-06
no_platform_selection_benchmark,12,fixed,0.0,0.19030177604083848,0.8096982239591615,2.3988699182843725,-0.4610854355321919,-0.8003831433453349,0.7696122876437864,0.23038771235621358,0.2363793185120812,1.0990082098615452e-06
no_platform_selection_benchmark,13,fixed,0.0,0.18006100989511908,0.8199389901048809,2.4302228440525924,-0.44572553895481337,-0.8230300877190999,0.7647928765193677,0.23520712348063233,0.22710243459124554,9.964324312948127e-07
no_platform_selection_benchmark,14,fixed,0.0,0.17028614988966143,0.8297138501103386,2.460294281074378,-0.430434815656529,-0.8478203297281387,0.7595901557230422,0.24040984427695777,0.218368118745053,9.029938051102672e-07
no_platform_selection_benchmark,15,fixed,0.0,0.1609740307973366,0.8390259692026634,2.4890704635437015,-0.4152779699471626,-0.8747812134898111,0.7539988039767698,0.24600119602323023,0.21017427000198266,8.180132787342514e-07
no_platform_selection_benchmark,16,fixed,0.0,0.15211989798845854,0.8478801020115414,2.5165447266878553,-0.400315228472696,-0.9039217330736614,0.7480203113878737,0.2519796886121263,0.2025158357108838,7.40843611499277e-07
no_platform_selection_benchmark,17,fixed,0.0,0.14371723759235203,0.856282762407648,2.542717960263627,-0.3856015391962227,-0.9352317512114224,0.7416627935014987,0.25833720649850134,0.1953846788920523,6.70868785084645e-07
no_platform_selection_benchmark,18,fixed,0.0,0.13575770319313982,0.8642422968068602,2.567598755785051,-0.3711859364731617,-0.9686820541535173,0.7349405204114687,0.26505947958853127,0.18876959911084606,6.075038997363369e-07
no_platform_selection_benchmark,19,fixed,0.0,0.12823113436284522,0.8717688656371547,2.5912032588060483,-0.357111102175773,-1.0042251628025085,0.7278732160902037,0.2721267839097963,0.18265649114480448,5.501953640855112e-07
no_platform_selection_benchmark,20,fixed,0.0,0.1211256562829118,0.8788743437170882,2.6135547582405625,-0.3434131344201131,-1.0417967772404366,0.7204851937812914,0.2795148062187086,0.17702861752665353,4.984211996389967e-07
no_platform_selection_benchmark,21,fixed,0.0,0.11442784549059655,0.8855721545094034,2.634683059458349,-0.33012151880530943,-1.0813177055884393,0.7128043961080465,0.28719560389195353,0.17186696626898726,4.5169130757703544e-07
no_platform_selection_benchmark,22,fixed,0.0,0.10812294454565471,0.8918770554543453,2.654623696178607,-0.31725928365215844,-1.1226961187214903,0.7048614046306025,0.29513859536939746,0.1671506636195342,4.0954758028266916e-07
no_platform_selection_benchmark,23,fixed,0.0,0.10219510800299417,0.8978048919970059,2.6734170383659803,-0.30484331128914893,-1.165829977526533,0.696688474713271,0.303311525286729,0.16285741306033996,3.7156377790336484e-07
no_platform_selection_benchmark,24,fixed,0.0,0.09662766316251284,0.9033723368374872,2.6911073504523504,-0.29288477209179553,-1.2106094956491338,0.6883186397424167,0.3116813602575833,0.15896393521402952,3.373451267896945e-07
no_platform_selection_benchmark,25,fixed,0.0,0.09140337121379576,0.9085966287862043,2.707741847658267,-0.28138964634101743,-1.25691952403951,0.6797849158353254,0.3202150841646746,0.15544638804673067,3.065276286285355e-07
no_platform_selection_benchmark,26,fixed,0.0,0.08650467715321244,0.9134953228467876,2.7233697894371005,-0.2703593003122376,-1.304641770279476,0.6711196257198103,0.3288803742801897,0.1522807520092504,2.787770945708347e-07
no_platform_selection_benchmark,27,fixed,0.0,0.08191393982616307,0.918086060173837,2.738041639439518,-0.2597910864839392,-1.3536567924727887,0.6623538495005236,0.33764615049947644,0.14944316992605838,2.537879369417463e-07
no_platform_selection_benchmark,28,fixed,0.0,0.07761363632544782,0.9223863636745522,2.7518083119533547,-0.24967894251673248,-1.4038457320873499,0.6535170011578072,0.3464829988421928,0.14691023609388637,2.3128176246523483e-07
no_platform_selection_benchmark,29,fixed,0.0,0.07358653754385724,0.9264134624561428,2.7647205162544304,-0.2400139689649785,-1.4550917711018496,0.6446365230506964,0.3553634769493036,0.14465923293371796,2.1100581622710232e-07
no_platform_selection_benchmark,30,fixed,0.0,0.06981585381393945,0.9301841461860605,2.7768282031412856,-0.2307849709678878,-1.5072813154607432,0.6357376863259125,0.36426231367408746,0.14266831654875695,1.9273132606808604e-07
no_platform_selection_benchmark,31,fixed,0.0,0.06628535122636338,0.9337146487736366,2.7881801122972,-0.2219789540259334,-1.5603049191133678,0.6268434826904772,0.3731565173095228,0.14091665468826794,1.762517940607651e-07
no_platform_selection_benchmark,32,fixed,0.0,0.06297944041292979,0.9370205595870702,2.798823415009497,-0.21358156816281548,-1.6140579711535117,0.6179745921145128,0.3820254078854872,0.13938452199002724,1.6138127641589358e-07
no_platform_selection_benchmark,33,fixed,0.0,0.05988324036013073,0.9401167596398693,2.8088034440352803,-0.2055774981968861,-1.6684411733728306,0.6091494112988046,0.3908505887011954,0.1380533581003698,1.4795268663530912e-07
no_platform_selection_benchmark,34,fixed,0.0,0.05698262025246431,0.9430173797475356,2.818163500821286,-0.19795080049087457,-1.723360837583185,0.6003841288015794,0.39961587119842057,0.13690579449214843,1.358161498005305e-07
no_platform_selection_benchmark,35,fixed,0.0,0.05426422250570591,0.945735777494294,2.826944729625327,-0.19068518847212018,-1.7787290320364324,0.5916928342576242,0.4083071657423758,0.13592565565418108,1.2483742914889975e-07
no_platform_selection_benchmark,36,fixed,0.0,0.05171547011024674,0.9482845298897533,2.835186048115465,-0.183764270511701,-1.8344636047984348,0.5830876508923434,0.4169123491076566,0.13509793993177807,1.1489643992706058e-07
no_platform_selection_benchmark,37,fixed,0.0,0.04932456122634566,0.9506754387736543,2.8429241245329497,-0.17717174452996087,-1.890488109542893,0.5745788823505062,0.42542111764949375,0.1344087847562444,1.0588586014059357e-07
no_platform_selection_benchmark,38,fixed,0.0,0.047080453708801595,0.9529195462911983,2.8501933923220473,-0.17089155406877748,-1.9467316563379249,0.5661751665989558,0.43382483340104416,0.13384542038901043,9.770984332665126e-08
no_platform_selection_benchmark,39,fixed,0.0,0.0449728419289673,0.9550271580710327,2.8570260941164864,-0.16490801063958888,-2.0031287069179045,0.5578836312468736,0.44211636875312643,0.1333961156795926,9.028283486132432e-08
no_platform_selection_benchmark,40,fixed,0.0,0.04299212793749415,0.9570078720625058,2.863452348024833,-0.15920588700906674,-2.0596188308868904,0.5497100460155924,0.45028995398440763,0.1330501187343757,8.352849051506207e-08
no_platform_selection_benchmark,41,fixed,0.0,0.041129388692942186,0.9588706113070579,2.869500230202252,-0.15377048579417543,-2.1161464364340095,0.5416589692683905,0.4583410307316095,0.1327975948392641,7.737869389486345e-08
no_platform_selection_benchmark,42,fixed,0.0,0.03937634078321931,0.9606236592167807,2.875195868684993,-0.14858768736258224,-2.1726604865417953,0.5337338864832833,0.46626611351671665,0.13262956348656266,7.177266795393249e-08
no_platform_selection_benchmark,43,fixed,0.0,0.03772530379679542,0.9622746962032046,2.880563544367194,-0.14364398061642916,-2.2291142093778715,0.5259373393338513,0.47406266066614866,0.13253783593002516,6.665617479928343e-08
no_platform_selection_benchmark,44,fixed,0.0,0.03616916326258575,0.9638308367374142,2.885625795802243,-0.13892647980883546,-2.2854648095891306,0.5182710446560141,0.48172895534398585,0.13251495433138294,6.198079748300795e-08
