scenario,period,mean_lambda,cooperation_rate,mean_material_payoff,mean_subjective_value
fixed_preferences_selection_only,0,0.2502149677179403,0.30453171897898573,1.8208555890726612,2.028287964060719
fixed_preferences_selection_only,1,0.2106806746674498,0.24307957938168448,1.670151056232677,1.8264349249820042
fixed_preferences_selection_only,2,0.1801528733774705,0.2103166872495903,1.586716952813129,1.714480077679933
fixed_preferences_selection_only,3,0.15552602184098122,0.1478540629339688,1.366002417101784,1.467115244325627
fixed_preferences_selection_only,4,0.1352176330809553,0.12729383476694928,1.3656777839311725,1.4592200527834156
fixed_preferences_selection_only,5,0.12154328926941231,0.08083083731624295,1.235958887687484,1.3262669188621998
fixed_preferences_selection_only,6,0.11287065125265507,0.07685233609033816,1.1712384203673283,1.2472105173253614
fixed_preferences_selection_only,7,0.10218251999058296,0.07383569607850243,1.2073668134927336,1.283400362609937
fixed_preferences_selection_only,8,0.09504917291134896,0.052272069950040974,1.154083840553261,1.2308440888476788
fixed_preferences_selection_only,9,0.0904804573772709,0.03333817267357473,1.098903084263511,1.1770623846087052
fixed_preferences_selection_only,10,0.08757363171438912,0.021347836429465666,1.0635877791681778,1.1430096022195209
fixed_preferences_selection_only,11,0.08571694605626858,0.013742905743494396,1.0410398497722086,1.1214064128241048
fixed_preferences_selection_only,12,0.08452520486312586,0.008913318607416046,1.0266605085736509,1.107677791501541
fixed_preferences_selection_only,13,0.08375529237510729,0.005843367647332376,1.0174959579965355,1.0989401662252294
fixed_preferences_selection_only,14,0.08325336243226662,0.0038906225961928788,1.0116567308443927,1.0933707204294916
fixed_preferences_selection_only,15,0.08292185249588817,0.002647891478434087,1.0079366631060207,1.0898145051006867
fixed_preferences_selection_only,16,0.08269879758853398,0.0018566897894658763,1.0055666220714234,1.0875385208416504
fixed_preferences_selection_only,17,0.08254480041970805,0.0013527606459267196,1.004056451976415,1.0860770358215712
fixed_preferences_selection_only,18,0.08243479465684941,0.0010316524925360444,1.003093893170743,1.085133911669782
fixed_preferences_selection_only,19,0.08235282462985227,0.0008269138831578737,1.0024800578629034,1.0845207543480384
fixed_preferences_selection_only,20,0.08228873090121763,0.0006962562663780577,1.0020882840263456,1.0841176750995085
