outcome_slug,outcome_label,horizon_years_after_internet_change,dependent_variable_units,coefficient_per_10pp_internet_jump,clustered_standard_error,ci95_low,ci95_high,normal_approx_p_value,observations,country_clusters,r_squared,controls,base_year_omitted
gdp_pc_constant,GDP per capita,0,annualized log points,0.6628420105152566,0.22961838601007162,0.21278997393551624,1.112894047094997,0.003892911403404785,5641,205,0.15095005209163237,"lag internet share, lag log GDP pc, year fixed effects",1991
gdp_pc_constant,GDP per capita,1,annualized log points,0.5097568087272026,0.1950731941043177,0.12741334828273998,0.8921002691716653,0.008971018066849495,5465,205,0.11317318760394346,"lag internet share, lag log GDP pc, year fixed effects",1991
gdp_pc_constant,GDP per capita,3,annualized log points,0.39416779607534397,0.18535930831656103,0.030863551774884368,0.7574720403758035,0.0334610986933366,5105,204,0.09168724354445423,"lag internet share, lag log GDP pc, year fixed effects",1991
gdp_pc_constant,GDP per capita,5,annualized log points,0.23943317507850953,0.16010714530680975,-0.0743768297228376,0.5532431798798567,0.13479550099659227,4742,203,0.08808295115319653,"lag internet share, lag log GDP pc, year fixed effects",1991
life_expectancy,Life expectancy,0,annualized years,0.013231426694562795,0.021549924613221926,-0.02900642554735218,0.05546927893647777,0.5392222885360096,5621,206,0.28148258248620917,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
life_expectancy,Life expectancy,1,annualized years,0.019484796050540532,0.017071192395412275,-0.013974741044467522,0.05294433314554858,0.25370991169432106,5463,206,0.28485765607669034,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
life_expectancy,Life expectancy,3,annualized years,0.021561763513760213,0.012433675561565709,-0.0028082405869085773,0.045931767614429006,0.0828928266485505,5113,206,0.21391701881088654,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
life_expectancy,Life expectancy,5,annualized years,0.01854031595808127,0.010497172841045486,-0.002034142810367883,0.039114774726530424,0.07735895743466682,4757,205,0.22841947061407442,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
fertility_rate,Fertility rate,0,annualized births per woman,0.011163761070015469,0.0033582508618333518,0.004581589380822099,0.017745932759208837,0.0008864762762997942,5654,206,0.16608486410347845,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
fertility_rate,Fertility rate,1,annualized births per woman,0.011931220581702706,0.0030567288379167072,0.00594003205938596,0.017922409104019453,9.490396447183345e-05,5476,206,0.21676001018950852,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
fertility_rate,Fertility rate,3,annualized births per woman,0.00840125950986142,0.0027204661535725136,0.0030691458488592933,0.013733373170863546,0.0020139383869669752,5120,206,0.27649674706725946,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
fertility_rate,Fertility rate,5,annualized births per woman,0.007423441368465244,0.002536633744840434,0.0024516392285779927,0.012395243508352496,0.0034280701586785413,4760,205,0.32276897521425396,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",1991
suicide_mortality,Suicide mortality,0,"annualized deaths per 100,000",-0.1064718330639936,0.04289592402860345,-0.19054784416005638,-0.022395821967930843,0.013061181170262835,3717,184,0.05422780009522232,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",2001
suicide_mortality,Suicide mortality,1,"annualized deaths per 100,000",-0.09608456072530915,0.036876224071570485,-0.16836195990558728,-0.023807161545031,0.009171443174338283,3548,184,0.09481042830946462,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",2001
suicide_mortality,Suicide mortality,3,"annualized deaths per 100,000",-0.08431962966371757,0.032266404222896894,-0.1475617819405955,-0.02107747738683967,0.008969015455970586,3203,184,0.1685444220366692,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",2001
suicide_mortality,Suicide mortality,5,"annualized deaths per 100,000",-0.057408767405298766,0.03183813014187237,-0.11981150248336861,0.00499396767277107,0.07136543451278965,2855,184,0.22807236074814052,"lag internet share, lag log GDP pc, lag outcome, year fixed effects",2001
