iteration,scenario,benchmark_reproduced,initial_lambda,final_lambda,delta_lambda,initial_cooperation,final_cooperation,delta_cooperation,final_material_payoff,verdict,influence_rate,lambda_target,material_payoff,cooperation_reversal
2,I2_reproduce_material_pd,True,0.2502149677179403,0.08035640009316149,-0.1698585676247788,0.30453171897898573,0.00042332979765344754,-0.30410838918133226,1.0012698101848427,benchmark,,,,
2,I2_mutation_to_prosocial,False,0.2502149677179403,1.0824256563094952,0.8322106885915549,0.3454272860612668,1.0,0.6545727139387332,3.0000000000000004,mechanism,,,,
2,I2_mutation_to_conflict,False,0.2502149677179403,-0.24965651401175076,-0.49987148172969104,0.2659448449049131,8.571568661205893e-261,-0.2659448449049131,0.9999999999999999,mechanism,,,,
,,,,0.08035640009316149,,,0.00042332979765344754,-0.30410838918133226,,,0.0,-0.35,1.0012698101848427,False
,,,,0.08035640009316149,,,0.00042332979765344754,-0.30410838918133226,,,0.0,0.0,1.0012698101848427,False
,,,,0.08035640009316149,,,0.00042332979765344754,-0.30410838918133226,,,0.0,0.35,1.0012698101848427,False
,,,,0.08035640009316149,,,0.00042332979765344754,-0.30410838918133226,,,0.0,0.7,1.0012698101848427,False
,,,,0.06442079168231768,,,0.0004616786691789588,-0.34496560739208787,,,0.0,1.1,1.0013848228603435,False
,,,,0.06442079168231768,,,0.0004616786691789588,-0.34496560739208787,,,0.0,1.4,1.0013848228603435,False
,,,,-0.2112369237624849,,,3.105801892604632e-17,-0.3045317189789857,,,0.015,-0.35,0.9999999999999952,False
,,,,0.029484827433148047,,,9.220357115998802e-09,-0.30453170975862864,,,0.015,0.0,1.0000000276610712,False
,,,,0.21723030952408406,,,0.05650341148513512,-0.2480283074938506,,,0.015,0.35,1.1663175989459469,False
,,,,0.31367146019027875,,,0.22712994864284308,-0.07740177033614265,,,0.015,0.7,1.6298018323580288,False
,,,,0.4332960259092081,,,0.501845402830712,0.15641811676944517,,,0.015,1.1,2.002471284695265,False
,,,,0.5452039019506261,,,0.7710518355979645,0.4256245495366977,,,0.015,1.4,2.7186345736149033,True
,,,,-0.3081459883506337,,,6.454218440595196e-36,-0.30453171897898573,,,0.03,-0.35,1.0,False
,,,,0.009848198749333958,,,6.328299039993685e-14,-0.30453171897892245,,,0.03,0.0,1.0000000000001898,False
,,,,0.26878899896513386,,,0.13722153911349771,-0.16731017986548802,,,0.03,0.35,1.3928348665438157,False
,,,,0.45238613061088373,,,0.4953484675173122,0.19081674853832647,,,0.03,0.7,1.8984480791280107,False
,,,,0.7131154279071505,,,0.935184202289112,0.5897569162278452,,,0.03,1.1,2.930983114656213,True
,,,,1.22004617362171,,,1.0,0.6545727139387332,,,0.03,1.4,3.0,True
,,,,-0.34186477963729034,,,1.267436464955255e-174,-0.30453171897898573,,,0.05,-0.35,1.0,False
,,,,0.002080611573617657,,,3.2507591830555145e-21,-0.30453171897898573,,,0.05,0.0,1.0,False
,,,,0.2902999584618643,,,0.16360469504516478,-0.14092702393382095,,,0.05,0.35,1.5208752599985973,False
,,,,0.5494296146028542,,,0.7928109627509268,0.48827924377194104,,,0.05,0.7,3.746060043940323,True
,,,,1.0724422661349682,,,1.0,0.6545727139387332,,,0.05,1.1,3.0,True
,,,,1.3704776921064443,,,1.0,0.6545727139387332,,,0.05,1.4,3.0,True
,,,,-0.3490099189544718,,,2.832977739855467e-258,-0.30453171897898573,,,0.075,-0.35,0.9999999999999999,False
,,,,0.00027499030063855075,,,3.332042478052099e-27,-0.30453171897898573,,,0.075,0.0,1.0,False
,,,,0.3287609479092761,,,0.21120173466873293,-0.0933299843102528,,,0.075,0.35,0.7046096941057681,False
,,,,0.5927741441034597,,,0.7980159060828321,0.4934841871038464,,,0.075,0.7,2.757218331887293,True
,,,,1.0971103043580595,,,1.0,0.6545727139387332,,,0.075,1.1,3.0,True
,,,,1.3968080137688474,,,1.0,0.6545727139387332,,,0.075,1.4,3.0000000000000004,True
,,,,-0.3498871680626379,,,0.0,-0.30453171897898573,,,0.1,-0.35,1.0,False
,,,,3.0890494486810525e-05,,,9.292848232673221e-191,-0.30453171897898573,,,0.1,0.0,1.0,False
,,,,0.33043298078799316,,,0.23253463760565596,-0.07199708137332977,,,0.1,0.35,1.6435315551305743,False
,,,,0.628581285937837,,,0.8688980499406757,0.56436633096169,,,0.1,0.7,2.8517103286313183,True
,,,,1.0997035640895443,,,1.0,0.6545727139387332,,,0.1,1.1,3.0,True
,,,,1.3996666273805511,,,1.0,0.6545727139387332,,,0.1,1.4,3.0,True
