signal_strength,capacity,substitute_share,drift_slope,stable,root_error_vs_no_signal
0.0,0.08540182876586914,0.9998965801446549,-0.22775497379050413,True,0.0
0.0,0.21208414268493647,0.9989952680155314,0.18233310425631108,False,0.0
0.0,0.8429153012037278,0.011837856380790258,-1.9109087836883865,True,0.0
0.5,0.08540182876586914,0.9998965801445854,-0.22770601980973482,True,0.0
0.5,0.21208414268493647,0.9989952680156506,0.1819534149553768,False,0.0
0.5,0.8429153012037278,0.011837856373484192,-1.865539673970208,True,0.0
1.0,0.08540182876586914,0.9998965801445157,-0.22765708686885394,True,0.0
1.0,0.21208414268493647,0.9989952680157694,0.18157530369362154,False,0.0
1.0,0.8429153012037278,0.011837856366517002,-1.8222749239359304,True,0.0
2.0,0.08540182876586914,0.9998965801443762,-0.22755928405252712,True,0.0
2.0,0.21208414268493647,0.9989952680160057,0.1808237760992753,False,0.0
2.0,0.8429153012037278,0.011837856353509129,-1.7414988223442895,True,0.0
5.0,0.08540182876586914,0.9998965801439585,-0.22726637915293124,True,0.0
5.0,0.21208414268493647,0.998995268016702,0.1786060617776238,False,0.0
5.0,0.8429153012037278,0.011837856320592588,-1.5370941937859093,True,0.0
10.0,0.08540182876586914,0.9998965801432651,-0.22677987635066044,True,0.0
10.0,0.21208414268493647,0.9989952680178258,0.17502833495422945,False,0.0
10.0,0.8429153012037278,0.011837856280093376,-1.2856028145299532,True,0.0
50.0,0.08540182876586914,0.9998965801378219,-0.22296157509916187,True,0.0
50.0,0.21208414268493647,0.9989952680254188,0.15085384355608528,False,0.0
50.0,0.8429153013229371,0.011837855322426864,-0.5567987284167573,True,1.1920930909070648e-10
