scenario,period,mean_lambda,cooperation_rate,mean_material_payoff,mean_subjective_value
I2_reproduce_material_pd,0,0.2502149677179403,0.30453171897898573,1.8208555890726612,2.028287964060719
I2_reproduce_material_pd,1,0.2106806746674498,0.24307957938168448,1.670151056232677,1.8264349249820042
I2_reproduce_material_pd,2,0.1801528733774705,0.2103166872495903,1.586716952813129,1.714480077679933
I2_reproduce_material_pd,3,0.15552602184098122,0.1478540629339688,1.366002417101784,1.467115244325627
I2_reproduce_material_pd,4,0.1352176330809553,0.12729383476694928,1.3656777839311725,1.4592200527834156
I2_reproduce_material_pd,5,0.12154328926941231,0.08083083731624295,1.235958887687484,1.3262669188621998
I2_reproduce_material_pd,6,0.11287065125265507,0.07685233609033816,1.1712384203673283,1.2472105173253614
I2_reproduce_material_pd,7,0.10218251999058296,0.07383569607850243,1.2073668134927336,1.283400362609937
I2_reproduce_material_pd,8,0.09504917291134896,0.052272069950040974,1.154083840553261,1.2308440888476788
I2_reproduce_material_pd,9,0.0904804573772709,0.03333817267357473,1.098903084263511,1.1770623846087052
I2_reproduce_material_pd,10,0.08757363171438912,0.021347836429465666,1.0635877791681778,1.1430096022195209
I2_reproduce_material_pd,11,0.08571694605626858,0.013742905743494396,1.0410398497722086,1.1214064128241048
I2_reproduce_material_pd,12,0.08452520486312586,0.008913318607416046,1.0266605085736509,1.107677791501541
I2_reproduce_material_pd,13,0.08375529237510729,0.005843367647332376,1.0174959579965355,1.0989401662252294
I2_reproduce_material_pd,14,0.08325336243226662,0.0038906225961928788,1.0116567308443927,1.0933707204294916
I2_reproduce_material_pd,15,0.08292185249588817,0.002647891478434087,1.0079366631060207,1.0898145051006867
I2_reproduce_material_pd,16,0.08269879758853398,0.0018566897894658763,1.0055666220714234,1.0875385208416504
I2_reproduce_material_pd,17,0.08254480041970805,0.0013527606459267196,1.004056451976415,1.0860770358215712
I2_reproduce_material_pd,18,0.08243479465684941,0.0010316524925360444,1.003093893170743,1.085133911669782
I2_reproduce_material_pd,19,0.08235282462985227,0.0008269138831578737,1.0024800578629034,1.0845207543480384
I2_reproduce_material_pd,20,0.08228873090121763,0.0006962562663780577,1.0020882840263456,1.0841176750995085
I2_reproduce_material_pd,21,0.08223604339268764,0.0006127627676770842,1.0018379128248218,1.0838483642368009
I2_reproduce_material_pd,22,0.08219064107214516,0.0005592985295237682,1.0016775827737263,1.0836642438078135
I2_reproduce_material_pd,23,0.08214989886595479,0.0005249548895317086,1.001574589090959,1.083534386883873
I2_reproduce_material_pd,24,0.08211214450518571,0.0005027866351928224,1.0015081071111778,1.0834391028352583
I2_reproduce_material_pd,25,0.08207631263145489,0.000488371805474669,1.0014648769094037,1.083365854488128
I2_reproduce_material_pd,26,0.08204172449291235,0.0004788949053636606,1.0014364553757606,1.083306659099255
I2_reproduce_material_pd,27,0.08200794761780067,0.0004725632576736069,1.0014174664569884,1.0832564337326154
I2_reproduce_material_pd,28,0.08197470642605208,0.000468235417020212,1.0014044870066547,1.083211941808186
I2_reproduce_material_pd,29,0.08194182528647823,0.00046518458659718743,1.001395337363092,1.0831711223728164
I2_reproduce_material_pd,30,0.08190919224178582,0.0004629479854048351,1.0013886296353776,1.0831326630375846
I2_reproduce_material_pd,31,0.08187673589949339,0.00046123093855849305,1.0013834800816968,1.0830957280560372
I2_reproduce_material_pd,32,0.08184441071005519,0.0004598458096910522,1.0013793259709045,1.0830597851823807
I2_reproduce_material_pd,33,0.08181218758806445,0.00045867311765554106,1.0013758089719378,1.0830244954251826
I2_reproduce_material_pd,34,0.08178004793731017,0.0004576367783654198,1.0013727009036753,1.0829896428486474
I2_reproduce_material_pd,35,0.0817479798443064,0.000456688340444051,1.0013698564570919,1.0829550898737035
I2_reproduce_material_pd,36,0.08171597565328503,0.00045579694748586116,1.0013671830916004,1.0829207488159145
I2_reproduce_material_pd,37,0.08168403042127899,0.0004549429466334408,1.0013646218668157,1.082886563762127
I2_reproduce_material_pd,38,0.0816521409338874,0.00045411381889136565,1.0013621352373137,1.082852499030306
I2_reproduce_material_pd,39,0.08162030507823768,0.00045330158777725,1.001359699281002,1.0828185318212327
I2_reproduce_material_pd,40,0.08158852144350956,0.0004525011692895201,1.0013572987505603,1.08278464753939
I2_reproduce_material_pd,41,0.0815567890664342,0.0004517093212515948,1.001354923922444,1.0827508368134697
I2_reproduce_material_pd,42,0.08152510726915417,0.00045092397430588493,1.0013525685904872,1.0827170935991364
I2_reproduce_material_pd,43,0.08149347555592491,0.0004501438059221764,1.0013502287883207,1.082683413970926
I2_reproduce_material_pd,44,0.08146189354730304,0.0004493679691452224,1.001347901975864,1.0826497953529617
I2_reproduce_material_pd,45,0.08143036093821727,0.0004485959198727309,1.0013455865213188,1.0826162360290945
I2_reproduce_material_pd,46,0.08139887747125438,0.00044782730687291676,1.0013432813713221,1.0825827348309718
I2_reproduce_material_pd,47,0.0813674429196386,0.0004470619017518184,1.0013409858409115,1.0825492909394048
I2_reproduce_material_pd,48,0.08133605707638675,0.0004462995543589323,1.0013386994797846,1.0825159037578844
I2_reproduce_material_pd,49,0.08130471974739759,0.00044554016439093985,1.0013364219871348,1.0824825728320338
I2_reproduce_material_pd,50,0.08127343074704788,0.00044478366330976256,1.001334153157422,1.0824492977983171
I2_reproduce_material_pd,51,0.08124218989538548,0.00044403000282840796,1.0013318928458417,1.0824160783513788
I2_reproduce_material_pd,52,0.08121099701633963,0.0004432791475789588,1.0013296409463344,1.0823829142232395
I2_reproduce_material_pd,53,0.08117985193657963,0.00044253107044362074,1.0013273973775825,1.0823498051700506
I2_reproduce_material_pd,54,0.08114875448478638,0.0004417857495815238,1.001325162074096,1.0823167509636569
I2_reproduce_material_pd,55,0.08111770449118717,0.00044104316653533263,1.0013229349805313,1.0822837513862207
I2_reproduce_material_pd,56,0.08108670178725785,0.00044030330502545337,1.0013207160480762,1.0822508062267997
I2_reproduce_material_pd,57,0.08105574620553208,0.00043956615018208434,1.0013185052321458,1.0822179152791642
I2_reproduce_material_pd,58,0.08102483757947843,0.0004388316880560776,1.0013163024909177,1.0821850783404061
I2_reproduce_material_pd,59,0.08099397574342102,0.0004380999053073423,1.001314107784395,1.0821522952100524
I2_reproduce_material_pd,60,0.08096316053248756,0.0004373707890063029,1.0013119210738117,1.0821195656894973
I2_reproduce_material_pd,61,0.08093239178257525,0.0004366443265073518,1.0013097423212542,1.0820868895816413
I2_reproduce_material_pd,62,0.0809016693303277,0.0004359205053681451,1.0013075714894177,1.0820542666906585
I2_reproduce_material_pd,63,0.08087099301311916,0.0004351993132980931,1.0013054085414521,1.0820216968218466
I2_reproduce_material_pd,64,0.08084036266904322,0.0004344807381254415,1.0013032534408643,1.0819891797815313
I2_reproduce_material_pd,65,0.0808097781369044,0.00043376476777619207,1.001301106151455,1.0819567153770036
I2_reproduce_material_pd,66,0.08077923925621174,0.00043305139026056215,1.0012989666372751,1.0819243034164763
I2_reproduce_material_pd,67,0.08074874586717341,0.0004323405936642476,1.001296834862604,1.0818919437090577
I2_reproduce_material_pd,68,0.08071829781069229,0.0004316323661427423,1.0012947107919286,1.0818596360647321
I2_reproduce_material_pd,69,0.08068789492836177,0.0004309266959176081,1.0012925943899356,1.0818273802943459
I2_reproduce_material_pd,70,0.0806575370624621,0.0004302235712739832,1.0012904856215008,1.0817951762095972
I2_reproduce_material_pd,71,0.08062722405595688,0.0004295229805588836,1.0012883844516858,1.081763023623028
I2_reproduce_material_pd,72,0.08059695575248964,0.00042882491218000873,1.0012862908457347,1.0817309223480183
I2_reproduce_material_pd,73,0.08056673199638051,0.00042812935460486773,1.0012842047690702,1.0816988721987795
I2_reproduce_material_pd,74,0.08053655263262313,0.00042743629636011197,1.0012821261872928,1.0816668729903505
I2_reproduce_material_pd,75,0.08050641750688128,0.0004267457260309983,1.0012800550661785,1.081634924538592
I2_reproduce_material_pd,76,0.08047632646548593,0.0004260576322609379,1.001277991371677,1.0816030266601835
I2_reproduce_material_pd,77,0.08044627935543193,0.00042537200375109777,1.0012759350699119,1.0815711791726181
I2_reproduce_material_pd,78,0.08041627602437502,0.0004246888292600385,1.0012738861271784,1.081539381894199
I2_reproduce_material_pd,79,0.0803863163206288,0.00042400809760337403,1.0012718445099436,1.0815076346440353
I2_reproduce_material_pd,80,0.08035640009316149,0.00042332979765344754,1.0012698101848427,1.0814759372420382
I2_mutation_to_prosocial,0,0.2502149677179403,0.3454272860612668,1.916961848228148,2.1964990839640897
I2_mutation_to_prosocial,1,0.2556811944993876,0.3472301092541129,1.965603406213734,2.237434120274477
I2_mutation_to_prosocial,2,0.26790056092163383,0.339230127164002,1.8410731456412124,2.135016987828801
I2_mutation_to_prosocial,3,0.28127542551986806,0.35962093394642203,2.003459833513328,2.293788793203618
I2_mutation_to_prosocial,4,0.3000180507214731,0.3792284422183874,1.9938711152677775,2.320151292636762
I2_mutation_to_prosocial,5,0.31906457484260375,0.40738069109489217,2.000875562501713,2.374016161464411
I2_mutation_to_prosocial,6,0.3376591291845968,0.4383334611252054,2.1885708324163855,2.5658746749454187
I2_mutation_to_prosocial,7,0.35835442346917923,0.47029824092967,2.1433005081279783,2.598056848799693
I2_mutation_to_prosocial,8,0.37777147433990754,0.5065262381510851,2.3515663341818622,2.812010890289993
I2_mutation_to_prosocial,9,0.3981243011207427,0.5408819194801242,2.5390726995581705,3.0037488627835036
I2_mutation_to_prosocial,10,0.41972502194244327,0.5718220902365521,2.388485767827157,2.9963512516275648
I2_mutation_to_prosocial,11,0.43962368168897537,0.6147046984637312,2.638132794462074,3.246404015888887
I2_mutation_to_prosocial,12,0.45930253673491517,0.597306211448518,2.321559128140073,3.062445745568532
I2_mutation_to_prosocial,13,0.4790675296114183,0.6576497906767818,2.6368164860334242,3.3948870570730025
I2_mutation_to_prosocial,14,0.49728517910643255,0.7122583223251178,2.942456642744951,3.691209191920329
I2_mutation_to_prosocial,15,0.5153148078170117,0.7358433672219993,2.666064640581388,3.6789435408685396
I2_mutation_to_prosocial,16,0.5345487731005482,0.7358180438061007,2.4579670271450773,3.6363321581872636
I2_mutation_to_prosocial,17,0.5558453901745456,0.7963679940344693,2.7549020001809232,3.9843153205127577
I2_mutation_to_prosocial,18,0.5731733529802222,0.7982753674502416,2.5437749188557506,3.9642690833720815
I2_mutation_to_prosocial,19,0.5951467858587393,0.8699531818339827,2.8457899661199795,4.367543403537556
I2_mutation_to_prosocial,20,0.6127228953007701,0.8697290068418377,2.6741316216108455,4.372678321143156
I2_mutation_to_prosocial,21,0.6357682688583971,0.9218879938078661,3.1496277888278392,4.7236444254140935
I2_mutation_to_prosocial,22,0.6472599148130512,0.9323733978773009,2.9702760156699863,4.777282520599787
I2_mutation_to_prosocial,23,0.6643527846527962,0.9314467339987031,2.8231325871672,4.804012544363019
I2_mutation_to_prosocial,24,0.6865806272602408,0.9700773011970525,2.9691819332934006,5.061197870621899
I2_mutation_to_prosocial,25,0.7059205436951332,0.9970103781096601,2.997001440270613,5.252629019211534
I2_mutation_to_prosocial,26,0.7271584595872791,0.9998350698672154,2.9998350426652665,5.3306292460540705
I2_mutation_to_prosocial,27,0.7476357518749951,0.9999947683676621,2.9999947683402923,5.392880091454394
I2_mutation_to_prosocial,28,0.7670147187181052,0.9999998896276071,2.999999889627595,5.451043576629589
I2_mutation_to_prosocial,29,0.7853288837414468,0.9999999982573711,2.9999999982573717,5.505986641978503
I2_mutation_to_prosocial,30,0.8026357946899587,0.9999999999777561,2.9999999999777565,5.557907383950702
I2_mutation_to_prosocial,31,0.8189908259757913,0.9999999999997584,2.9999999999997584,5.606972477926068
I2_mutation_to_prosocial,32,0.8344463305470499,0.9999999999999978,2.9999999999999982,5.653338991641139
I2_mutation_to_prosocial,33,0.8490517823669613,1.0,3.0,5.6971553471008844
I2_mutation_to_prosocial,34,0.8628539343367786,1.0,3.0,5.738561803010336
I2_mutation_to_prosocial,35,0.8758969679482557,1.0,3.0,5.777690903844768
I2_mutation_to_prosocial,36,0.8882226347111017,1.0,3.0,5.814667904133306
I2_mutation_to_prosocial,37,0.8998703898019911,1.0,3.0,5.849611169405973
I2_mutation_to_prosocial,38,0.9108775183628817,1.0,3.0,5.882632555088645
I2_mutation_to_prosocial,39,0.9212792548529233,1.0,3.0,5.913837764558771
I2_mutation_to_prosocial,40,0.9311088958360125,1.0,3.0000000000000004,5.943326687508039
I2_mutation_to_prosocial,41,0.9403979065650319,1.0,3.0,5.971193719695096
I2_mutation_to_prosocial,42,0.9491760217039552,1.0,3.0,5.997528065111866
I2_mutation_to_prosocial,43,0.9574713405102376,1.0,3.0,6.022414021530714
I2_mutation_to_prosocial,44,0.9653104167821747,1.0,3.0,6.045931250346524
I2_mutation_to_prosocial,45,0.972718343859155,1.0,3.0,6.068155031577465
I2_mutation_to_prosocial,46,0.9797188349469017,1.0,3.0,6.089156504840705
I2_mutation_to_prosocial,47,0.9863342990248221,1.0,3.0,6.1090028970744665
I2_mutation_to_prosocial,48,0.992585912578457,1.0,3.0,6.127757737735371
I2_mutation_to_prosocial,49,0.9984936873866419,1.0,3.0,6.145481062159926
