scenario,penalty_case,finite_policy,finite_final_exposure,fast_limit_exposure,finite_final_theta,fast_limit_theta,finite_final_fitness,fast_limit_fitness,fast_limit_initial_preference_value,fast_limit_platform_value,autonomy_penalty
no_platform_selection_benchmark,steady,fixed,0.0,0.0,0.0070151193169877175,0.0,2.9810388543773523,3.0041660239464334,-7.253143043581243,0.2,0.0
no_platform_selection_benchmark,boundary_layer,fixed,0.0,0.0,0.0070151193169877175,0.0,2.9810388543773523,3.0041660239464334,-7.253143043581243,0.2,0.13252510391552366
fixed_high_exposure,steady,fixed,0.8,0.8,0.9406712128614126,0.9411764705882353,0.6858136065461441,0.6850929941564707,-1.8628072912722926,1.0131764705882351,0.0
fixed_high_exposure,boundary_layer,fixed,0.8,0.8,0.9406712128614126,0.9411764705882353,0.6858136065461441,0.6850929941564707,-1.8628072912722926,1.0131764705882351,0.3593776363683533
myopic_platform_low_cost,steady,platform,0.2,0.8,0.7947268661950423,0.9411764705882353,0.9140011193255391,0.6850929941564707,-1.8628072912722926,1.1655764705882352,0.0
myopic_platform_low_cost,boundary_layer,platform,0.2,0.8,0.7947268661950423,0.9411764705882353,0.9140011193255391,0.6850929941564707,-1.8628072912722926,1.1655764705882352,0.3593776363683533
myopic_platform_high_cost,steady,platform,0.05,0.4,0.47099827405464384,0.888888888888889,1.6020361873963431,0.7612149481259857,-1.4694200377482773,1.0828888888888888,0.0
myopic_platform_high_cost,boundary_layer,platform,0.05,0.4,0.47099827405464384,0.888888888888889,1.6020361873963431,0.7612149481259857,-1.4694200377482773,1.0828888888888888,0.3002968674993327
platform_with_weak_autonomy_penalty,steady,platform,0.2,0.8,0.7892704699542773,0.9411764705882353,0.9235222317964924,0.6850929941564707,-1.8628072912722926,1.1655764705882352,0.0
platform_with_weak_autonomy_penalty,boundary_layer,platform,0.2,0.05,0.7892704699542773,0.5,0.9235222317964924,1.5295904196633787,-0.6931471805599453,-0.061406912174293504,0.03245227648697174
platform_with_calibrated_guardrail,steady,platform,0.05,0.8,0.30506107005099137,0.9411764705882353,2.050951807090464,0.6850929941564707,-1.8628072912722926,1.1655764705882352,0.0
platform_with_calibrated_guardrail,boundary_layer,platform,0.05,0.05,0.30506107005099137,0.5,2.050951807090464,1.5295904196633787,-0.6931471805599453,-4.117941473045761,0.03245227648697174
platform_fast_limit_high_autonomy,steady,platform,0.05,0.8,0.4950655913761526,0.9411764705882353,1.541750834122795,0.6850929941564707,-1.8628072912722926,1.1655764705882352,0.0
platform_fast_limit_high_autonomy,boundary_layer,platform,0.05,0.05,0.4950655913761526,0.5,1.541750834122795,1.5295904196633787,-0.6931471805599453,-4.117941473045761,0.03245227648697174
