capacity_protection,capacity,substitute_share,drift_slope,stable,interpretation
0.0,0.0853314847946167,0.9999776798861657,-0.2284261101773321,True,low trap
0.0,0.21316538429260257,0.9999776798861657,0.18103574366976216,False,threshold
0.0,0.7015031309127808,0.9999776798861657,-0.8726096320256482,True,high state
0.05,0.08533329772949219,0.9999755877243057,-0.2284132117828228,True,low trap
0.05,0.2131592607498169,0.9999720812121293,0.18102874364523353,False,threshold
0.05,0.7015086448192596,0.9999533791431411,-0.872635263202565,True,high state
0.1,0.0853352813720703,0.999973299348981,-0.2283986253553313,True,low trap
0.1,0.21315160179138182,0.9999650788033078,0.18102144360431863,False,threshold
0.1,0.7015201611518859,0.9999026214935659,-0.8726782468512814,True,high state
0.15,0.08533745098114015,0.9999707963318061,-0.22838215121109878,True,low trap
0.15,0.2131420211791992,0.9999563211394465,0.18101412978127934,False,threshold
0.15,0.7015442125797273,0.9997966006256751,-0.872745987826852,True,high state
0.2,0.08533982467651367,0.9999680585071912,-0.2283635605588657,True,low trap
0.2,0.21313003921508789,0.9999453689670607,0.18100725767487383,False,threshold
0.2,0.7015944411754607,0.9995751304200863,-0.8728414807835176,True,high state
0.25,0.08534242153167727,0.9999650638072218,-0.22834260175477503,True,low trap
0.25,0.2131150522232056,0.9999316735978483,0.18100150162505937,False,threshold
0.25,0.7016993310451507,0.999112379726584,-0.8729449930006588,True,high state
0.3,0.0853452615737915,0.9999617880805958,-0.2283189981010969,True,low trap
0.3,0.21309631156921383,0.9999145499608981,0.18099785773375363,False,threshold
0.3,0.7019183850288391,0.9981448154163978,-0.8729614501729958,True,high state
0.35,0.08534836769104007,0.9999582048934492,-0.22829243716303463,True,low trap
0.35,0.2130728769302368,0.9998931432298596,0.1809977355508536,False,threshold
0.35,0.7023760964870454,0.996118079082188,-0.8725811852028058,True,high state
0.4,0.0853517665863037,0.9999542853104065,-0.22826256392032168,True,low trap
0.4,0.21304357814788816,0.9998663876104319,0.181003121838703,False,threshold
0.4,0.7033342149257662,0.9918535449808317,-0.8709302028622016,True,high state
0.45,0.08535548496246338,0.9999499976558532,-0.22822899418441067,True,low trap
0.45,0.21300695419311522,0.9998329556715847,0.18101676470088895,False,threshold
0.45,0.7053503799438476,0.982782117304894,-0.8657227927082162,True,high state
