route,games,br_invariance_rate,pure_br_invariance_rate,equilibrium_shift_rate,proxy_material_loss_rate,proxy_gain_material_loss_rate,all_regimes_negative_rate,mean_material_loss_when_proxy_wins,median_material_loss_when_proxy_wins,verdict
neutral_control,5000,1.0,1.0,0.0,,,,,,sanity check: strategically irrelevant preference movement should not change predictions
strategic_random_distortion,5000,0.0762,0.3126,0.5044,,,,,,generic stress test: strategic preference movement usually changes the reduced game
proxy_aligned,5000,,,0.3766,0.0432,0.04,0.068,0.14824074663138534,0.1195545880881489,"control: platform proxy is close to material welfare, so losses should be limited"
proxy_independent,5000,,,0.7244,0.5758,0.5694,0.124,1.0965466022265768,1.0209379551105788,diagnostic: proxy optimization can lose material welfare without built-in anti-fitness assumptions
proxy_misaligned,5000,,,0.973,0.9706,0.9706,0.187,1.5092305837153985,1.4907097403562573,stress case: one-dimensional platform model is credible only if this misalignment is defended empirically
