eta,beta_eta_rho,central_response,peripheral_response,central_to_peripheral_ratio,contraction_bound
0.0,0.0,1.15,1.15,1.0,1.15
0.15,0.1725,6.694321795936566,1.1529793566811068,5.806107244804812,1.3897280966767371
0.3,0.345,15.368067595178244,1.1560431382927763,13.293680041969308,1.7557251908396945
0.45,0.5175,30.44193054480095,1.1592279697172716,26.260521088207994,2.3834196891191706
0.6,0.69,62.50175101730445,1.1626503008890328,53.75799668181553,3.7096774193548376
0.72,0.828,134.63659857445455,1.1659380392535257,115.47491722686534,6.686046511627905
0.8,0.9199999999999999,321.1233678363721,1.169683009339482,274.53879835162337,14.374999999999986
0.84,0.9659999999999999,792.8965993761508,1.1757657450515102,674.3661334864064,33.82352941176456
